start_date,start_time,finish_date,finish_time,all_day,name,detail,location,event_type,publish_date,attendance
14/11/2025,09:30,14/11/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
14/11/2025,10:25,14/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
14/11/2025,11:10,14/11/2025,12:02,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
14/11/2025,12:02,14/11/2025,12:55,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
14/11/2025,13:40,14/11/2025,14:35,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
14/11/2025,14:35,14/11/2025,15:30,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
17/11/2025,08:35,17/11/2025,09:30,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
17/11/2025,09:30,17/11/2025,10:25,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
17/11/2025,10:25,17/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
17/11/2025,11:10,17/11/2025,12:02,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
17/11/2025,12:02,17/11/2025,12:55,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
17/11/2025,13:40,17/11/2025,14:35,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
17/11/2025,14:35,17/11/2025,15:30,0,"Religious and Values Education 08 (08Rav_S2_5)",,MAJ08,5,,0
18/11/2025,08:35,18/11/2025,09:30,0,"History 08 (08His_S2_5)",,ROG08,5,,0
18/11/2025,09:30,18/11/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
18/11/2025,10:25,18/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
18/11/2025,11:10,18/11/2025,12:02,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
18/11/2025,12:02,18/11/2025,12:55,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
18/11/2025,13:40,18/11/2025,14:35,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
18/11/2025,14:35,18/11/2025,15:30,0,"English 08 (08Eng_S2_7)",,FRA2.4,5,,0
19/11/2025,08:35,19/11/2025,09:30,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
19/11/2025,09:30,19/11/2025,10:25,0,"House Group Time 08 (08HGT_S2_8)",,MAJ05,5,,0
19/11/2025,10:25,19/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
19/11/2025,11:10,19/11/2025,12:02,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
19/11/2025,12:02,19/11/2025,12:55,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
19/11/2025,13:40,19/11/2025,14:35,0,"History 08 (08His_S2_5)",,ROG08,5,,0
19/11/2025,14:35,19/11/2025,15:30,0,"Study Skills 08 (08SSk_S2_5)",,MOR2.1,5,,0
20/11/2025,08:35,20/11/2025,09:30,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
20/11/2025,09:30,20/11/2025,10:25,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
20/11/2025,10:25,20/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
20/11/2025,11:10,20/11/2025,12:02,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
20/11/2025,12:02,20/11/2025,12:55,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
20/11/2025,13:40,20/11/2025,14:35,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
20/11/2025,14:35,20/11/2025,15:30,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
21/11/2025,08:35,21/11/2025,09:30,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
21/11/2025,09:30,21/11/2025,10:25,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
21/11/2025,10:25,21/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
21/11/2025,11:10,21/11/2025,12:02,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
21/11/2025,12:02,21/11/2025,12:55,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
21/11/2025,13:40,21/11/2025,14:35,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
21/11/2025,14:35,21/11/2025,15:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
24/11/2025,08:35,24/11/2025,09:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
24/11/2025,09:30,24/11/2025,10:25,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
24/11/2025,10:25,24/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
24/11/2025,11:10,24/11/2025,12:02,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
24/11/2025,12:02,24/11/2025,12:55,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
24/11/2025,13:40,24/11/2025,14:35,0,"Chapel 08 (08Chp_S2_1)",,CHAPEL,5,,0
24/11/2025,14:35,24/11/2025,15:30,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
25/11/2025,08:35,25/11/2025,09:30,0,"Religious and Values Education 08 (08Rav_S2_5)",,MAJ08,5,,0
